department,jabatan,count
MCN,KOL AKUISISI,2
MCN,KOL CAMPAIGN,3
MCN,KOL CAMPAIGN ABP,2
MCN,KOL CAMPAIGN SAP/TAP,2
MCN,KOL OPERATIONAL TIKTOK GO,1
MCN,LEADER CELEBRITY & INFLUENCER CREATOR,1
MCN,MENTOR AFFILIATE,2
MCN,SOCIAL MEDIA SPECIALIST,1
MCN,SR. AFFILIATE SUPPORT & BRAND PARTNERSHIP,1
MCN,STAFF TIKTOK GO,1
MCN,SUPERVISOR MCN,1
OD,JR ORGANIZATION DEVELOPMENT,1
OD,SENIOR ORGANIZATION DEVELOPMENT,1
SALES,ADMIN SALES,2
SALES,CONTENT CREATOR,1
SALES,CRO MENTOR TIKTOK,1
SALES,CUSTOMER RELATION OFFICER,1
SALES,HEAD OF SALES JASA,1
SALES,SALES,2
SALES,SALES ASSISTANT,1
SALES,SALES JASA,6
SALES,SENIOR SALES JASA,1
SKILSKUL,CONTENT CREATOR INTERN,1
SKILSKUL,SALES ASSISTANT INTERN,1
SKILSKUL,SPV SKILSKUL,1
TIKTOK GO,ADMIN OPERATIONAL TIKTOK GO,1
TIKTOK GO,BD & CM REGIONAL (JAKARTA),1
TIKTOK GO,BD & CM REGIONAL (YOGYAKARTA),1
TIKTOK GO,BUSINESS DEVELOPMENT,2
TIKTOK GO,BUSINESS DEVELOPMENT TIKTOK GO,1
TIKTOK GO,BUSINESS GROWTH & CAMPAIGN LEAD,1
TIKTOK GO,CAMPAIGN SPECIALIST,1
TIKTOK GO,CM TOP CREATOR,1
TIKTOK GO,CONTENT CREATOR & ACQUISITION,1
TIKTOK GO,CONTENT CREATOR INTERN (TIKTOK GO),2
TIKTOK GO,CONTENT CREATOR INTERN TIKTOK GO,1
TIKTOK GO,INTERN KOL TIKTOK GO,5
TIKTOK GO,KOL OPERATIONAL TIKTOK GO,1
TIKTOK GO,LEADER TIKTOK GO,1
TIKTOK GO,STAFF TIKTOK GO,1
